osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
6769633847,Centre De Santé Integre De Roumde Adja,clinic,NA,NA,NA,13.39367,9.32799,Centre/Clinique
6769633848,Cabinet Vétérinaire De La Benoue,clinic,NA,NA,NA,13.40604,9.31918,Centre/Clinique
6769633849,Cabinet De Soins Solidarite,clinic,NA,NA,NA,13.40671,9.31535,Centre/Clinique
6769633850,Centre De Santé Integre De Foulbere,clinic,NA,NA,NA,13.40267,9.30775,Centre/Clinique
6769633851,Centre De Santé Integre De Kotta Liddire,clinic,NA,NA,NA,13.40462,9.30287,Centre/Clinique
6769694063,Centre De Santé Intégré De Takasko,hospital,NA,NA,NA,13.42206,9.35275,Hopital
6769694064,Centre Médical D'arrondissement De Lainde,hospital,NA,NA,NA,13.41472,9.34751,Hopital
6769694065,Cabinet De Soins Le Bien Être,doctors,NA,NA,NA,13.40408,9.33774,Centre/Clinique
6769717425,Centre Médical Jésus Sauve Et Guéri,clinic,NA,NA,NA,13.41037,9.32857,Centre/Clinique
6769738329,Fondation Médicale Adluchem Pharmacie Centrale Entenne De Garoua,pharmacy,NA,NA,NA,13.40592,9.33474,Pharmacie
6769738330,Pharmacie De La Grande Mosquée,pharmacy,NA,NA,NA,13.41121,9.33002,Pharmacie
6769738331,Pharmacie Provinciale,pharmacy,NA,NA,NA,13.40576,9.31889,Pharmacie
6769738332,Pharmacie Populaire,pharmacy,NA,NA,NA,13.40081,9.31228,Pharmacie
6769738333,Pharmacie Barka,pharmacy,NA,NA,NA,13.39908,9.30718,Pharmacie
6769738334,Pharmacie Du Grand Marché,pharmacy,NA,NA,NA,13.39951,9.30789,Pharmacie
6769738335,Pharmacie Assalam,pharmacy,NA,NA,NA,13.4025,9.30756,Pharmacie
6799334990,Centre de Santé Catholique Intégré Notre Dame de Compassion d'Elig Mfomo,yes,NA,NA,NA,11.34714,4.15797,Centre/Clinique
6828370688,Centre médical d'entreprise SEFAC Libongo,clinic,NA,NA,NA,16.0672,2.62339,Centre/Clinique
6869643244,Centre de santé catholique Ste Anne,doctors,NA,NA,NA,13.28839,4.91948,Centre/Clinique
6895808885,Cabinet médical Espérance,clinic,NA,NA,NA,15.09375,12.11366,Centre/Clinique
6931266067,Centre de santé Sainte Dorothée,doctors,NA,NA,NA,13.29161,4.92037,Centre/Clinique
6931276494,Centre de santé Sainte Katalina,clinic,NA,NA,NA,13.29526,4.91164,Centre/Clinique
6957305154,Clinique la Colombe de Bamewou,doctors,NA,NA,NA,10.12213,5.37257,Centre/Clinique
6976300785,District Hospital Kumba,hospital,NA,NA,NA,9.42766,4.64445,Hopital
6996454687,Ordre de Malte,hospital,NA,NA,NA,15.10267,12.11252,Hopital
6996537885,DHK,pharmacy,NA,NA,NA,15.10252,12.11239,Pharmacie
7001027686,CSI,hospital,NA,NA,NA,13.8684,9.31132,Hopital
7035979235,Centre de sante integré de lagdo urbain,clinic,NA,NA,NA,13.66303,9.07335,Centre/Clinique
7036005745,Centre de santé communautaire eelc de lagdo,clinic,NA,NA,NA,13.65937,9.06543,Centre/Clinique
7036005746,Centre de santé intégré ndjipporde,clinic,NA,NA,NA,13.67072,9.04952,Centre/Clinique
7036005747,Centre de santé ourokessoum,clinic,NA,NA,NA,13.63657,9.03201,Centre/Clinique
7036005748,Centre de santé du complexe islamique de lagdo,clinic,NA,NA,NA,13.63646,9.03212,Centre/Clinique
7036081571,Revival power foundation clinic,clinic,NA,NA,NA,9.26775,4.15925,Centre/Clinique
7036096371,Morgue de buea,clinic,NA,NA,NA,9.23805,4.1488,Centre/Clinique
7036096372,Centre de dialyse,clinic,NA,NA,NA,9.23763,4.1487,Centre/Clinique
7036103173,7th Days Adventist,clinic,NA,NA,NA,9.24824,4.14566,Centre/Clinique
7036110824,Garnison millitaire,clinic,NA,NA,NA,9.2474,4.15395,Centre/Clinique
7051950433,OSM_7051950433,pharmacy,NA,NA,NA,13.61659,9.96604,Pharmacie
7051950434,OSM_7051950434,pharmacy,NA,NA,NA,13.52139,9.9849,Pharmacie
7051950435,OSM_7051950435,pharmacy,NA,NA,NA,13.52049,9.98497,Pharmacie
7054297821,OSM_7054297821,doctors,NA,NA,NA,13.62079,9.96213,Centre/Clinique
7054940054,Centre de santé Mariama,clinic,NA,NA,NA,13.87698,9.3076,Centre/Clinique
7054940055,Centre de santé d'adoumri,clinic,NA,NA,NA,13.76626,9.25115,Centre/Clinique
7055016267,Centre medical millitaire du 43 eme BIM,clinic,NA,NA,NA,13.6156,9.96705,Centre/Clinique
7055016268,Centre de senté intégré de dourbeye,clinic,NA,NA,NA,13.52187,9.9846,Centre/Clinique
7055016269,CSI DE MAYO OULO,clinic,NA,NA,NA,13.61228,9.96794,Centre/Clinique
7066255881,Idenau pharmacy,pharmacy,NA,NA,NA,8.99231,4.20387,Pharmacie
7066538011,Enamen pharmacie,pharmacy,NA,NA,NA,9.28254,4.15892,Pharmacie
7066538014,Dr Chuwaga clinique,clinic,NA,NA,NA,9.24252,4.14802,Centre/Clinique
7066538015,BEBETA MEMORIAL COMMUNITY CLINIC BOKOAI,clinic,NA,NA,NA,9.27865,4.16904,Centre/Clinique
7066538016,St albert,clinic,NA,NA,NA,9.2997,4.15292,Centre/Clinique
7066538017,Health for all foundation,clinic,NA,NA,NA,9.29195,4.15335,Centre/Clinique
7066538018,OSM_7066538018,clinic,NA,NA,NA,9.28198,4.15843,Centre/Clinique
7066538019,Mere thetesa,clinic,NA,NA,NA,9.26501,4.15645,Centre/Clinique
7066538020,Hope outreach,clinic,NA,NA,NA,9.26055,4.15386,Centre/Clinique
7066538021,Mount mary hospital,clinic,NA,NA,NA,9.24036,4.15754,Centre/Clinique
7066538022,OSM_7066538022,clinic,NA,NA,NA,9.24427,4.15229,Centre/Clinique
7066538023,Integrated Health Centre,clinic,NA,NA,NA,9.23336,4.15417,Centre/Clinique
7066538024,Fako heart center,clinic,NA,NA,NA,9.23029,4.14839,Centre/Clinique
7066538025,Buea health district and cross health center,clinic,NA,NA,NA,9.2213,4.1345,Centre/Clinique
7069910983,Core pharmacy,clinic,NA,NA,NA,9.34402,4.08857,Centre/Clinique
7069910984,Health center,clinic,NA,NA,NA,9.31592,4.08895,Centre/Clinique
7069926485,Holt fort,clinic,NA,NA,NA,9.36582,4.07292,Centre/Clinique
7069929284,Baptist hospital,clinic,NA,NA,NA,9.31197,4.08844,Centre/Clinique
7070021019,Friveralin pharmacy,pharmacy,NA,NA,NA,9.31628,4.09021,Pharmacie
7070021020,Thé glory pharmacy,pharmacy,NA,NA,NA,9.35742,4.08405,Pharmacie
7070021021,Faith standard pharmacy,pharmacy,NA,NA,NA,9.3695,4.07,Pharmacie
7072565591,Rapha pharmacie,pharmacy,NA,NA,NA,9.20103,4.01477,Pharmacie
7072565592,OSM_7072565592,pharmacy,NA,NA,NA,9.20906,4.01768,Pharmacie
7072565593,Prime pharmacie,pharmacy,NA,NA,NA,9.20903,4.01496,Pharmacie
7072565594,Rainbow,pharmacy,NA,NA,NA,9.20772,4.01269,Pharmacie
7072565595,Fako Atlantic pharmacy,pharmacy,NA,NA,NA,9.20752,4.01111,Pharmacie
7072565596,Grace standart pharmacie,pharmacy,NA,NA,NA,9.21612,4.0116,Pharmacie
7072565597,Herbal pharmacie,pharmacy,NA,NA,NA,9.21752,4.01238,Pharmacie
7072565602,Corn's medical optic,clinic,NA,NA,NA,9.2049,4.01546,Centre/Clinique
7072565608,Militry medical center,clinic,NA,NA,NA,9.18583,4.02585,Centre/Clinique
7072565609,Croix rouge,clinic,NA,NA,NA,9.18228,4.02182,Centre/Clinique
7072565610,C.S.C E,clinic,NA,NA,NA,9.19365,4.02574,Centre/Clinique
7131029452,OSM_7131029452,pharmacy,NA,NA,NA,8.63007,12.38827,Pharmacie
7133011979,OSM_7133011979,pharmacy,NA,NA,NA,8.80706,11.201,Pharmacie
7133029388,OSM_7133029388,pharmacy,NA,NA,NA,8.80696,11.20149,Pharmacie
7133236810,OSM_7133236810,pharmacy,NA,NA,NA,8.807,11.19546,Pharmacie
7145774034,Capha Vet Sarl Pharmacie Vétérinaires,pharmacy,NA,NA,NA,11.53424,3.88644,Pharmacie
7148809644,OSM_7148809644,clinic,NA,NA,NA,11.45798,3.84959,Centre/Clinique
7148818875,Centre De Santé La Vie,clinic,NA,NA,NA,11.46844,3.87195,Centre/Clinique
7148832374,OSM_7148832374,clinic,NA,NA,NA,11.442,3.85083,Centre/Clinique
7148836611,Centre De Santé Saint Martin D' Etetak Abobo,clinic,NA,NA,NA,11.48035,3.87707,Centre/Clinique
7148838024,La Trinité,clinic,NA,NA,NA,11.45138,3.85599,Centre/Clinique
7148838202,Centre De Santé Marie Anderson,clinic,NA,NA,NA,11.45946,3.85891,Centre/Clinique
7148840966,OSM_7148840966,clinic,NA,NA,NA,11.45104,3.8595,Centre/Clinique
7148841169,OSM_7148841169,clinic,NA,NA,NA,11.4806,3.87191,Centre/Clinique
7148852628,Centre De Santé Irad,clinic,NA,NA,NA,11.45815,3.86833,Centre/Clinique
7148852719,Centre De Santé Saint Joseph,clinic,NA,NA,NA,11.4643,3.87159,Centre/Clinique
7148861371,OSM_7148861371,clinic,NA,NA,NA,11.47321,3.88146,Centre/Clinique
7148866251,OSM_7148866251,clinic,NA,NA,NA,11.48149,3.88309,Centre/Clinique
7148870204,OSM_7148870204,clinic,NA,NA,NA,11.47435,3.87466,Centre/Clinique
7148886078,OSM_7148886078,clinic,NA,NA,NA,11.47381,3.87896,Centre/Clinique
7148892705,OSM_7148892705,clinic,NA,NA,NA,11.47028,3.88082,Centre/Clinique
7148901136,OSM_7148901136,clinic,NA,NA,NA,11.46577,3.87469,Centre/Clinique
7148919595,OSM_7148919595,clinic,NA,NA,NA,11.46459,3.87466,Centre/Clinique
7150514880,OSM_7150514880,clinic,NA,NA,NA,11.42586,3.87449,Centre/Clinique
7150524684,OSM_7150524684,clinic,NA,NA,NA,11.45206,3.87455,Centre/Clinique
7150526652,OSM_7150526652,clinic,NA,NA,NA,11.46165,3.87885,Centre/Clinique
7150527016,OSM_7150527016,clinic,NA,NA,NA,11.43136,3.87526,Centre/Clinique
7150530012,OSM_7150530012,clinic,NA,NA,NA,11.43132,3.87452,Centre/Clinique
7150531076,OSM_7150531076,clinic,NA,NA,NA,11.46775,3.88405,Centre/Clinique
7150535118,OSM_7150535118,clinic,NA,NA,NA,11.43309,3.87475,Centre/Clinique
