r,obs,theo,lo,hi,fonction,nsim
0,0,0,0,0,G,39
417.5678991211719,0.06338028169014084,4.964654218684306e-4,0,0.004672897196261682,G,39
835.1357982423438,0.13380281690140844,0.0019843833093931007,0,0.009779951100244499,G,39
1252.7036973635156,0.21830985915492956,0.004459325863112595,0,0.014814814814814815,G,39
1670.2715964846875,0.27699530516431925,0.007913937815591687,0,0.026845637583892617,G,39
2087.839495605859,0.3215130023640662,0.012337972851124146,0,0.03153153153153153,G,39
2505.4073947270313,0.34688995215311,0.017718344239345596,0,0.036036036036036036,G,39
2922.9752938482034,0.3719806763285024,0.024039189332578204,0.0045351473922902496,0.04186046511627907,G,39
3340.543192969375,0.38405797101449274,0.03128194748203972,0.009070294784580499,0.06046511627906977,G,39
3758.1110920905467,0.4074074074074074,0.039425450837307974,0.01818181818181818,0.08490566037735849,G,39
4175.678991211718,0.42326732673267325,0.04844602740742143,0.01818181818181818,0.10451306413301663,G,39
4593.246890332891,0.4271356783919598,0.05831761568145666,0.018223234624145785,0.12410501193317422,G,39
5010.8147894540625,0.4547738693467337,0.06901189003202968,0.02733485193621868,0.14797136038186157,G,39
5428.382688575234,0.4759493670886076,0.08049839605753384,0.054455445544554455,0.15180722891566265,G,39
5845.950587696407,0.4884910485933504,0.0927446949585996,0.05486284289276808,0.162227602905569,G,39
6263.518486817578,0.4961038961038961,0.10571651599169019,0.075,0.17317073170731706,G,39
6681.08638593875,0.5038961038961038,0.1193779159983307,0.08831168831168831,0.1980440097799511,G,39
7098.654285059922,0.5131578947368421,0.13369144497249363,0.0987012987012987,0.19852941176470587,G,39
7516.222184181093,0.5226666666666666,0.1486183166013415,0.10732984293193717,0.2079207920792079,G,39
7933.790083302266,0.5417789757412399,0.164118582695991,0.11140583554376658,0.22942643391521197,G,39
8351.357982423437,0.5471698113207547,0.1801513104192306,0.1196808510638298,0.2531328320802005,G,39
8768.92588154461,0.5467032967032966,0.19667476121615923,0.13903743315508021,0.2725,G,39
9186.493780665782,0.5484764542936288,0.2136465703613617,0.14864864864864866,0.28391959798994976,G,39
9604.061679786953,0.55,0.2310239260523027,0.16756756756756758,0.29974811083123426,G,39
10021.629578908125,0.5638888888888889,0.24876374700276516,0.195,0.3249370277078086,G,39
10439.197478029297,0.5790960451977402,0.26682285752206225,0.20253164556962025,0.3392857142857143,G,39
10856.765377150468,0.5875706214689266,0.2851581591049177,0.22391857506361323,0.3520408163265306,G,39
11274.33327627164,0.6045197740112994,0.30372679760288057,0.23918575063613232,0.3852040816326531,G,39
11691.901175392813,0.6206896551724138,0.3224863251003264,0.25190839694656486,0.4,G,39
12109.469074513985,0.6282420749279539,0.34139485567590955,0.26740947075208915,0.42564102564102563,G,39
12527.036973635157,0.6358381502890174,0.36041121429311374,0.2737430167597765,0.44072164948453607,G,39
12944.604872756328,0.6588921282798834,0.3794950781306249,0.28370786516853935,0.4675324675324675,G,39
13362.1727718775,0.6705539358600583,0.3986071097339152,0.30704225352112674,0.4895833333333333,G,39
13779.740670998672,0.6793002915451894,0.41770908144296315,0.3380681818181818,0.5143603133159269,G,39
14197.308570119843,0.6793002915451894,0.4367639906267047,0.3541666666666667,0.5235602094240838,G,39
14614.876469241015,0.6803519061583577,0.4557361653319022,0.3657142857142857,0.5406824146981627,G,39
15032.444368362187,0.7,0.4745913600318902,0.37714285714285717,0.5506493506493506,G,39
15450.01226748336,0.7172619047619048,0.49329684123842776,0.3884057971014493,0.5857519788918206,G,39
15867.580166604532,0.7232142857142857,0.5118214628169518,0.39941690962099125,0.610079575596817,G,39
16285.148065725703,0.7373134328358208,0.530135730921251,0.42857142857142855,0.6206896551724138,G,39
