unite_de_parcours,question_repondue,n_lignes,taille_moyenne_ponderee
Lignes d'INDIVIDUS,Quelle est la taille du menage d'une personne prise au hasard ?,9472,6.32
Lignes de MENAGES (chefs),Quelle est la taille d'un menage pris au hasard ?,2065,4.49
