date,annee,mois,t2m_c
2017-05-01,2017,5,25.418
2017-06-01,2017,6,24.623
2017-07-01,2017,7,23.666
2017-08-01,2017,8,23.338
2017-09-01,2017,9,23.605
2017-10-01,2017,10,24.304
2017-11-01,2017,11,24.35
2017-12-01,2017,12,24.854
2018-01-01,2018,1,24.082
2018-02-01,2018,2,26.665
2018-03-01,2018,3,26.718
2018-04-01,2018,4,26.228
2018-05-01,2018,5,25.28
2018-06-01,2018,6,24.48
2018-07-01,2018,7,23.748
2018-08-01,2018,8,23.578
2018-09-01,2018,9,23.842
2018-10-01,2018,10,24.383
2018-11-01,2018,11,24.861
2018-12-01,2018,12,24.36
2019-01-01,2019,1,25.328
2019-02-01,2019,2,26.214
2019-03-01,2019,3,27.297
2019-04-01,2019,4,26.997
2019-05-01,2019,5,25.854
2019-06-01,2019,6,24.519
2019-07-01,2019,7,23.717
2019-08-01,2019,8,23.51
2019-09-01,2019,9,24.009
2019-10-01,2019,10,23.656
2019-11-01,2019,11,24.813
2019-12-01,2019,12,24.502
2020-01-01,2020,1,24.666
2020-02-01,2020,2,26.326
2020-03-01,2020,3,27.581
2020-04-01,2020,4,26.96
2020-05-01,2020,5,26.197
2020-06-01,2020,6,24.719
2020-07-01,2020,7,23.631
2020-08-01,2020,8,23.892
2020-09-01,2020,9,23.5
2020-10-01,2020,10,24.213
2020-11-01,2020,11,24.923
2020-12-01,2020,12,25.218
2021-01-01,2021,1,25.48
2021-02-01,2021,2,26.123
2021-03-01,2021,3,26.552
2021-04-01,2021,4,26.644
2021-05-01,2021,5,25.633
2021-06-01,2021,6,24.764
2021-07-01,2021,7,23.795
2021-08-01,2021,8,23.698
2021-09-01,2021,9,23.99
2021-10-01,2021,10,24.71
2021-11-01,2021,11,25.121
2021-12-01,2021,12,24.863
2022-01-01,2022,1,24.358
2022-02-01,2022,2,25.738
2022-03-01,2022,3,27.283
2022-04-01,2022,4,26.243
2022-05-01,2022,5,25.503
2022-06-01,2022,6,24.259
2022-07-01,2022,7,23.568
2022-08-01,2022,8,23.422
2022-09-01,2022,9,23.562
2022-10-01,2022,10,24.069
2022-11-01,2022,11,24.795
2022-12-01,2022,12,24.353
2023-01-01,2023,1,25.055
2023-02-01,2023,2,26.529
2023-03-01,2023,3,26.758
2023-04-01,2023,4,26.321
2023-05-01,2023,5,26.234
2023-06-01,2023,6,24.522
2023-07-01,2023,7,24.455
2023-08-01,2023,8,24.069
2023-09-01,2023,9,24.16
2023-10-01,2023,10,24.707
2023-11-01,2023,11,24.871
2023-12-01,2023,12,24.679
2024-01-01,2024,1,24.95
2024-02-01,2024,2,27
2024-03-01,2024,3,28.301
2024-04-01,2024,4,27.682
2024-05-01,2024,5,27.317
2024-06-01,2024,6,25.32
2024-07-01,2024,7,24.193
2024-08-01,2024,8,23.917
2024-09-01,2024,9,24.043
2024-10-01,2024,10,24.235
2024-11-01,2024,11,24.72
2024-12-01,2024,12,24.887
2025-01-01,2025,1,25.261
2025-02-01,2025,2,26.895
2025-03-01,2025,3,27.8
2025-04-01,2025,4,26.729
2025-05-01,2025,5,26.017
2025-06-01,2025,6,24.926
2025-07-01,2025,7,23.544
2025-08-01,2025,8,23.219
2025-09-01,2025,9,23.798
2025-10-01,2025,10,24.08
2025-11-01,2025,11,24.983
2025-12-01,2025,12,25.343
2026-01-01,2026,1,25.625
2026-02-01,2026,2,26.098
2026-03-01,2026,3,26.429
2026-04-01,2026,4,26.236
2026-05-01,2026,5,26.148
2026-06-01,2026,6,24.443
