admin2Pcod,adm2_name,n_menages,n_grappes,insecure_direct,rmse_direct,insecure_fh,rmse_fh,gain_rmse,gain_pct,deplacement,lc_13_urbain_adm2,lc_8_savane_boisee_adm2,statut
BJ0101,Banikoara,250,21,70.76982663019686,4.872033337570771,70.42618870944627,4.557916618744634,0.31411671882613756,6.447343379279056,-0.34363792075059507,0.0124653594946315,0.0029185283762044,Estimee (direct + Fay-Herriot)
BJ0102,Gogounou,72,6,63.165427038125564,3.615098509172212,63.407759132413126,3.480050024573804,0.1350484845984079,3.7356792423709475,0.24233209428756197,5.044390637610963e-5,0.1717110573042771,Estimee (direct + Fay-Herriot)
BJ0103,Kandi,108,9,55.815334844130724,4.70186783551895,57.37117567739344,4.41837821104902,0.2834896244699303,6.029298023402252,1.5558408332627138,0,0,Estimee (direct + Fay-Herriot)
BJ0104,Karimama,48,4,82.16888680269257,6.349549281604981,79.19770492796843,5.6939501780466335,0.6555991035583473,10.325128201739558,-2.971181874724138,0.0081937796234955,0,Estimee (direct + Fay-Herriot)
BJ0105,Malanville,120,10,68.23709456622964,4.36588273534492,68.36861125716176,4.1351289337640456,0.23075380158087455,5.2853870698990315,0.13151669093211638,0.04960300746064,0,Estimee (direct + Fay-Herriot)
BJ0106,Segbana,60,5,61.738612312033645,5.106308408971174,62.515645684883616,4.745204934982438,0.3611034739887353,7.071712968890004,0.7770333728499708,0,0.0926860900987293,Estimee (direct + Fay-Herriot)
BJ0202,Kerou,69,6,36.94015709441986,3.31249501556218,38.95319006841983,3.207897630546685,0.10459738501549509,3.157661657575154,2.0130329739999695,0,0.1468995154662864,Estimee (direct + Fay-Herriot)
BJ0203,Kobli,48,4,78.98659870557294,4.524296713507233,77.65525831261412,4.270230605294955,0.25406610821227815,5.6155934126461435,-1.331340392958822,0,0,Estimee (direct + Fay-Herriot)
BJ0204,Kouande,84,7,44.59096376033092,4.971889903153779,47.54584877066887,4.634850268396452,0.33703963475732746,6.7789038237458925,2.9548850103379465,6.0584030049679055e-5,0.2446515883222645,Estimee (direct + Fay-Herriot)
BJ0205,Materi,119,10,75.75133924329273,5.01036802951735,74.62621270115528,4.67100005481108,0.33936797470626967,6.7733143095869766,-1.1251265421374512,0,0,Estimee (direct + Fay-Herriot)
BJ0206,Natitingou,108,9,58.924628317585615,5.10200231594995,60.25322093625101,4.7447955433739235,0.35720677257602684,7.001305574858759,1.3285926186653967,0,0.0014189332827725,Estimee (direct + Fay-Herriot)
