event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CAO23410,2025-01-19,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,ARDHU,National,"On 19 January 2025, an armed group described as Boko Haram (coded as Boko Haram (JAS) based on the militant activity in Mayo-Sava) abducted one person at Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). The victim was released after the BIR's intervention (unclear/not mentioned if there were clashes).",0,,1776726726
CAO16523,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Gouzoudou,11.1106,14.0389,1,"Humanity Purpose; Undisclosed Source","Local partner-Other","Looting: On 20 January 2025, Boko Haram militants looted ruminants and a motorbike from 2 households in Gouzoudou (Kolofata, Mayo-Sava, Extreme-Nord).",0,,1776726696
CAO16536,2025-01-20,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-)",,"State forces",,,,"State forces only",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Mayo-Moskota,Mozogo,10.9638,13.9065,1,"Humanity Purpose","New media","Other: On 20 January 2025, The military forces fired warning shots to dissuade Boko Haram militants at Mozogo (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). There were no clashes.",0,,1738026265
CAO16540,2025-01-20,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Cameroon)",,"Political militia","Civilians (Cameroon)","Christian Group (Cameroon); Labor Group (Cameroon)",Civilians,"Political militia-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord,Mayo-Rey,Tchollire,Tchollire,8.4022,14.1698,1,"Humanity Purpose","New media","On 20 January 2025, an unidentified armed group abducted a pastor of the Evangelical Lutheran Church of Cameroon and the director of the Cornerstone Enrichment Service on the Tchollire road (Tchollire, Mayo-Rey, Nord) for an unknown reason.",0,,1762291677
CAO16594,2025-01-20,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-) Rapid Intervention Battalion",,"State forces","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","State forces-Rebel group",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Sandawadjiri,11.1144,13.9339,1,"Humanity Purpose","New media","Other: On 20 January 2025, the military forces from the Rapid Intervention, carried out a raid in the bushes until Sandawadjiri (Kolofata, Mayo-Sava, Extreme-Nord) to disperse Boko Haram militants within the area. There was no exchange of fire between the two groups.",0,,1776726696
CAO16607,2025-01-20,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-) Rapid Intervention Battalion",,"State forces","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","State forces-Rebel group",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Mayo-Moskota,Talakachi,10.9683,13.8709,2,"Humanity Purpose","New media","Other: On 20 January 2025, the military forces from the Rapid Intervention Battalion, carried out a raid in the bushes from Kouyape, to Talakachi (Talakachi, Mayo-Moskota, Mayo-Tsanaga) and Sandawadjiri (coded separately) to disperse Boko Haram militants within the area. There was no exchange of fire between the two groups.",0,,1776726696
CAO20896,2025-01-20,2025,1,"Strategic developments","Strategic developments",Other,"Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group",,,,"Rebel group only",,120,"Middle Africa",Cameroon,Sud-Ouest,Ndian,"Ekondo Titi",Lipenja,4.6446,9.0935,1,"Local Network",Other,"Other: On 20 January 2025, Ambazonian Separatists from the Restoration Forces faction fired several sporadic shots while passing through Lipenja (Ndian, Sud-Ouest).",0,,1765923135
CAO20897,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)","Farmers (Cameroon)",Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Wowo,6.4042,10.8395,1,"Local Network",Other,"Property destruction: On 20 January 2025, Ambazonian Separatists destroyed farm tools in Wowo (Donga-Mantung, Nord-Ouest), while accusing farmers of violating the Monday 'Ghost Town' order. The Separatists threatened and forced (means unspecified) farmers to flee their fields.",0,,1765923135
CAO20898,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Kakar,6.3864,10.8012,1,"Local Network",Other,"Looting: On 20 January 2025, Ambazonian Separatists looted a motorcycle from a civilian along a secondary road in Kakar (Donga-Mantung, Nord-Ouest). The Separatists accused him of violating the Monday Ghost Town order.",0,,1765923135
CAO20899,2025-01-20,2025,1,"Political violence",Battles,"Armed clash","Ambazonian Separatists (Cameroon)",,"Rebel group","Military Forces of Cameroon (1982-)",,"State forces","State forces-Rebel group",,120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Kakar,6.3864,10.8012,1,"Local Network",Other,"On 20 January 2025, Ambazonian Separatists clashed with military forces at a tea plantation in Kakar (Donga-Mantung, Nord-Ouest). There were no casualties. The Separatists set fire to part of the plantation, accusing management of violating the Monday Ghost Town order.",0,,1765923135
CAO20900,2025-01-20,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-)",,"State forces",,,,"State forces only",,120,"Middle Africa",Cameroon,Nord-Ouest,Boyo,Fundong,Meli,6.2728,10.2297,1,"Local Network",Other,"Other: On 20 January 2025, military forces fired sporadic warning shots from their base in Meli (Boyo, Nord-Ouest) for several minutes after detecting suspected Ambazonian Separatists in the area. The Separatists did not return fire.",0,,1765923135
CAO20901,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)","Labor Group (Cameroon)",Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Nord-Ouest,Boyo,Fundong,Meli,6.2728,10.2297,1,"Local Network",Other,"Looting: On 20 January 2025, Ambazonian Separatists armed with rifles extorted money and alcohol from a local businessman in Meli (Boyo, Nord-Ouest), accusing him of running his shop in violation of the Separatists-imposed Monday Ghost Town order.",0,,1765923135
CAO20902,2025-01-20,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Cameroon)",,"Political militia","Civilians (Cameroon)","Christian Group (Cameroon)",Civilians,"Political militia-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Ngarum,6.4430,10.7608,1,"Local Network",Other,"On 20 January 2025, an unidentified armed group, dressed in military attire, abducted a cleric from the clergyman's house in Ngarum (Donga-Mantung, Nord-Ouest). The group demanded a ransom of 10 million Franc CFA and stole valuables from a clergyman's house. The abduction happened after the group looted money from a woman at her home and forced the woman to knock into the cleric's house and gain entry on their behalf.",0,,1765923135
CAO23393,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Koza,Galdala,10.9382,13.9055,1,ARDHU,National,"Looting: On 20 January 2025, overnight, an armed group, described as 'Boko Haram' (coded as Boko Haram (JAS) based on the militant activity in Mayo-Tsanaga) looted unidentified materials at Galdala (Koza, Mayo-Tsanaga, Extreme-Nord).",0,,1776726726
