matrice,de,vers,de_lon,de_lat,vers_lon,vers_lat
contiguite_queen,1,23,9.745287703203852,4.328315906021576,9.785187285343538,4.144712956421057
contiguite_queen,1,45,9.745287703203852,4.328315906021576,9.639685917268018,4.169112126273628
contiguite_queen,1,116,9.745287703203852,4.328315906021576,9.541383540191225,4.4114086426837344
contiguite_queen,1,159,9.745287703203852,4.328315906021576,9.699027746339027,4.5623557796660625
contiguite_queen,1,188,9.745287703203852,4.328315906021576,9.406685660624394,4.087601137867745
contiguite_queen,1,196,9.745287703203852,4.328315906021576,10.122700065826912,4.393707360551819
contiguite_queen,2,4,13.569604243853174,3.726726869762295,12.209299957241766,3.7181821835015567
contiguite_queen,2,8,13.569604243853174,3.726726869762295,12.535040136281765,4.11111993560804
contiguite_queen,2,49,13.569604243853174,3.726726869762295,13.362079913077384,4.229668082991144
contiguite_queen,2,99,13.569604243853174,3.726726869762295,13.935894099393247,2.8534232095931147
contiguite_queen,2,115,13.569604243853174,3.726726869762295,14.118116335562965,4.001330140101417
contiguite_queen,2,124,13.569604243853174,3.726726869762295,12.965423043178449,3.4895547256976833
contiguite_queen,2,155,13.569604243853174,3.726726869762295,12.965238179695211,4.387402984679682
contiguite_queen,2,198,13.569604243853174,3.726726869762295,15.092544494120396,3.2079278126591233
contiguite_queen,3,160,10.659456001687692,6.868841638918716,10.594798057680302,6.633666604222704
contiguite_queen,4,2,12.209299957241766,3.7181821835015567,13.569604243853174,3.726726869762295
contiguite_queen,4,7,12.209299957241766,3.7181821835015567,11.881777902610095,3.9241210545887535
contiguite_queen,4,8,12.209299957241766,3.7181821835015567,12.535040136281765,4.11111993560804
contiguite_queen,4,113,12.209299957241766,3.7181821835015567,11.481802159175013,3.3413297687542376
contiguite_queen,4,114,12.209299957241766,3.7181821835015567,12.114027861812971,4.3721451544779715
contiguite_queen,4,124,12.209299957241766,3.7181821835015567,12.965423043178449,3.4895547256976833
contiguite_queen,4,125,12.209299957241766,3.7181821835015567,12.419455439744308,3.1911819490409767
contiguite_queen,4,126,12.209299957241766,3.7181821835015567,11.73965954683516,3.6988793865784397
contiguite_queen,4,200,12.209299957241766,3.7181821835015567,11.89009348174138,3.274079900074423
contiguite_queen,5,31,9.560593940831598,6.240282196142452,9.868559542537078,6.5115389961564185
contiguite_queen,5,105,9.560593940831598,6.240282196142452,9.468541702819683,5.809275984439005
contiguite_queen,5,158,9.560593940831598,6.240282196142452,9.789829905869405,6.1231523438575115
contiguite_queen,6,52,10.909051708862565,2.454424250892356,11.15485812690373,2.923679727057918
contiguite_queen,6,94,10.909051708862565,2.454424250892356,11.27674338287436,2.2337725445776226
contiguite_queen,6,139,10.909051708862565,2.454424250892356,11.752571672209987,2.5897966832113037
contiguite_queen,6,157,10.909051708862565,2.454424250892356,10.207642017271729,2.6083359468090226
contiguite_queen,6,172,10.909051708862565,2.454424250892356,10.955861526045208,2.214114116048904
contiguite_queen,7,4,11.881777902610095,3.9241210545887535,12.209299957241766,3.7181821835015567
contiguite_queen,7,58,11.881777902610095,3.9241210545887535,11.852468399415065,4.143109887005301
contiguite_queen,7,114,11.881777902610095,3.9241210545887535,12.114027861812971,4.3721451544779715
contiguite_queen,7,126,11.881777902610095,3.9241210545887535,11.73965954683516,3.6988793865784397
contiguite_queen,7,184,11.881777902610095,3.9241210545887535,11.609160180599451,3.9994241017142866
contiguite_queen,8,2,12.535040136281765,4.11111993560804,13.569604243853174,3.726726869762295
contiguite_queen,8,4,12.535040136281765,4.11111993560804,12.209299957241766,3.7181821835015567
contiguite_queen,8,114,12.535040136281765,4.11111993560804,12.114027861812971,4.3721451544779715
