DHSCLUST,region_eds,milieu,lat,lon,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy_menage,Travel_Times_2015,Nightlights_Composite,Aridity_2015,Malaria_Prevalence_2015,All_Population_Count_2015
1,EXTREME-NORD,U,10.748742,14.607247,28,28.084979999999998,99.99999999999999,53.57142857142857,4.892857142857143,46.285714285714285,0.14885075887044272,11.652567863464355,0.1919313371181488,332.19873046875
2,EST,R,3.896324,13.282114,28,12.850404,35.714285714285715,0,6.178571428571429,126.514745308311,0,36.98813247680664,0.33688706159591675,2613.1865234375
3,CENTRE,U,4.554889,11.379685,28,24.478412000000002,96.42857142857143,85.71428571428571,8.785714285714285,45.875,0.11110309968914904,35.85752868652344,0.3167681097984314,118.07286834716795
5,YAOUNDE,U,3.860075,11.547974,28,21.024639999999998,100,100,3.892857142857143,0,16.233274366034838,35.7159423828125,0.1604199260473251,243690.40625
7,ADAMAOUA,R,6.520462,13.187004,24,6.956208,20.833333333333332,0,6.458333333333332,26.31607629427793,0.00366078325220056,38.029998779296875,0.312897095313439,19155.783203125
8,NORD-OUEST,U,5.940608,10.149462,25,25.318825,100,96,2.88,0,2.1290850146063445,42.5,0.03336325287818909,13475.48828125
10,EXTREME-NORD,R,10.772808,13.805082,28,8.829968000000001,50,14.285714285714285,5.071428571428572,20.43699731903485,0.05787998680435394,11.610509872436523,0.25741344690322876,91183.8046875
11,LITTORAL,U,3.801051,10.092532,28,18.677176,89.28571428571429,100,6,29.866666666666667,0.4008956119931978,50.90056610107422,0.2584601640701294,3020.30517578125
12,DOUALA,U,4.093956,9.73572,26,29.549416,100,100,3.8846153846153846,2.230769230769231,8.984165586274246,58.0782585144043,0.1217355951666832,28565.5625
13,SUD,U,2.91139,11.155678,28,9.210123999999999,100,96.42857142857143,4.214285714285714,0,1.9615779999763736,41.514286041259766,0.2392454445362091,89641.1796875
14,EXTREME-NORD,R,10.61429,13.560029,25,24.658025,80,4,8.64,71.45092838196287,2.063746734332e-4,11.610509872436523,0.19781732559204104,58764.5703125
15,SUD,R,3.163996,12.270948,28,20.95618,89.28571428571428,96.42857142857143,8.142857142857142,180.20765027322403,0.09749712707395054,36.262996673583984,0.40759506821632385,3849.981201171875
17,DOUALA,U,4.105737,9.755721,28,47.159672,100,100,4.821428571428571,2.7857142857142856,5.436370849609375,58.0782585144043,0.11841913312673567,7191.736328125
