hhid,id,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
7095,7650,7,95,1,430.22746120854913,6,11.2016326,2.3080135,1
8012,8670,8,12,2,278.48496940005384,7,11.0876875,2.4261696,0
8018,8670,8,18,2,278.48496940005384,4,11.0876875,2.4261696,1
8024,8670,8,24,2,278.48496940005384,7,11.0876875,2.4261696,0
8036,8670,8,36,2,278.48496940005384,2,11.0876875,2.4261696,0
8042,8670,8,42,2,278.48496940005384,9,11.0876875,2.4261696,1
8049,8670,8,49,2,278.48496940005384,7,11.0876875,2.4261696,1
8061,8670,8,61,2,278.48496940005384,2,11.0876875,2.4261696,1
8067,8670,8,67,2,278.48496940005384,7,11.0876875,2.4261696,1
8073,8670,8,73,2,278.48496940005384,6,11.0876875,2.4261696,0
8085,8670,8,85,2,278.48496940005384,5,11.0876875,2.4261696,0
8091,8670,8,91,2,278.48496940005384,14,11.0876875,2.4261696,0
8097,8670,8,97,2,278.48496940005384,2,11.0876875,2.4261696,0
9002,9692,9,2,1,398.2673849134346,10,11.2944278167561,2.55004827864468,0
9009,9692,9,9,1,398.2673849134346,8,11.2944278167561,2.55004827864468,0
9016,9692,9,16,1,398.2673849134346,7,11.2944278167561,2.55004827864468,1
9023,9692,9,23,1,398.2673849134346,5,11.2944278167561,2.55004827864468,0
9030,9692,9,30,1,398.2673849134346,4,11.2944278167561,2.55004827864468,1
9037,9692,9,37,1,398.2673849134346,4,11.2944278167561,2.55004827864468,1
9044,9692,9,44,1,398.2673849134346,2,11.2944278167561,2.55004827864468,1
9051,9692,9,51,1,398.2673849134346,7,11.2944278167561,2.55004827864468,1
9058,9692,9,58,1,398.2673849134346,5,11.2944278167561,2.55004827864468,1
9065,9692,9,65,1,398.2673849134346,2,11.2944278167561,2.55004827864468,0
9072,9692,9,72,1,398.2673849134346,6,11.2944278167561,2.55004827864468,1
9078,9692,9,78,1,398.2673849134346,7,11.2944278167561,2.55004827864468,0
10006,7185,10,6,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10020,7185,10,20,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10027,7185,10,27,2,312.51879085942363,10,11.2597918650135,2.26399412378669,0
10035,7185,10,35,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10049,7185,10,49,2,312.51879085942363,5,11.2597918650135,2.26399412378669,1
10057,7185,10,57,2,312.51879085942363,3,11.2597918650135,2.26399412378669,0
10064,7185,10,64,2,312.51879085942363,3,11.2597918650135,2.26399412378669,1
10079,7185,10,79,2,312.51879085942363,2,11.2597918650135,2.26399412378669,0
10086,7185,10,86,2,312.51879085942363,7,11.2597918650135,2.26399412378669,1
10093,7185,10,93,2,312.51879085942363,6,11.2597918650135,2.26399412378669,1
10108,7185,10,108,2,312.51879085942363,4,11.2597918650135,2.26399412378669,1
10115,7185,10,115,2,312.51879085942363,8,11.2597918650135,2.26399412378669,1
11005,11496,11,5,1,537.9890806018099,8,10.8126397,2.7248518,1
11017,11496,11,17,1,537.9890806018099,14,10.8126397,2.7248518,0
11030,11496,11,30,1,537.9890806018099,6,10.8126397,2.7248518,1
11042,11496,11,42,1,537.9890806018099,7,10.8126397,2.7248518,1
11055,11496,11,55,1,537.9890806018099,8,10.8126397,2.7248518,0
11068,11496,11,68,1,537.9890806018099,3,10.8126397,2.7248518,1
11080,11496,11,80,1,537.9890806018099,5,10.8126397,2.7248518,0
11093,11496,11,93,1,537.9890806018099,4,10.8126397,2.7248518,0
11106,11496,11,106,1,537.9890806018099,10,10.8126397,2.7248518,1
11118,11496,11,118,1,537.9890806018099,9,10.8126397,2.7248518,0
11131,11496,11,131,1,537.9890806018099,2,10.8126397,2.7248518,1
11143,11496,11,143,1,537.9890806018099,8,10.8126397,2.7248518,1
12003,10754,12,3,2,223.11081881817404,7,10.7476284,2.6593214,0
