id,admin2Pcod,ntl_mean,population,ndvi_mean,precip_2018,no2,lc_13_urbain,lc_12_cultures,lc_8_savane_boisee,lc_11_zones_humides
8106,BJ0800,5.223869548483665,32148.06640625,2594.676246693765,1312.0,5.283542579785936e-05,0.0,0.5263157894736842,0.0789473684210526,0.0
8108,BJ0800,7.594061663862638,71005.3671875,3462.322317131812,1307.1844660194176,5.220857267990152e-05,0.0,1.0,0.0,0.0
8110,BJ0800,3.498692427813487,22539.85546875,2942.8809163199485,1304.0,5.116954501147597e-05,0.0,0.2857142857142857,0.0,0.0
8354,BJ0800,5.006865208606119,36014.4140625,1721.6011745260253,1303.764705882353,5.4357237103011176e-05,0.0,0.4489795918367347,0.0,0.0
8355,BJ0800,9.874257405914005,120927.96875,3659.0254842657782,1313.2912621359226,5.3511904806450456e-05,0.0,1.0,0.0,0.0
8356,BJ0800,8.307070031072408,32661.359375,3018.497883129616,1319.6796116504852,5.181924165192316e-05,0.0,0.3673469387755102,0.0,0.0
8623,BJ0800,3.0847325014962643,21521.98828125,1762.3788038903026,1306.78640776699,5.537646319344343e-05,0.0,0.3571428571428571,0.0476190476190476,0.0
8624,BJ0800,14.022475187760191,170400.1875,2114.78374870838,1316.70297029703,5.434337616069476e-05,0.0,1.0,0.0,0.0
8625,BJ0800,22.24232489169132,43889.921875,2578.6153184620584,1323.281553398058,5.216977217539836e-05,0.0,0.5,0.0,0.0
8876,BJ0800,3.1508836873262376,23593.724609375,783.7866723914235,1319.0,5.5772641282207614e-05,0.0,0.3469387755102041,0.0,0.0
8878,BJ0800,13.390696897817191,139703.640625,1483.7595815323457,1322.009708737864,5.442520140178348e-05,0.0,0.9761904761904762,0.0,0.0
8880,BJ0800,13.61010360600964,28568.66796875,1597.700823662437,1324.0,5.205820527929502e-05,0.0,0.3061224489795918,0.0,0.0
9129,BJ0800,10.400272505224288,115767.4453125,2221.5221101931475,1349.990196078431,5.33493279972758e-05,0.0,1.0,0.0,0.0
9131,BJ0800,2.6141979470591226,3126.248046875,1628.7602446111302,1364.5,5.140771363068984e-05,0.0,0.0714285714285714,0.0,0.0
9394,BJ0800,7.549303229394255,64812.4375,2702.8013115058407,1365.8431372549023,5.268988753469642e-05,0.0,1.0,0.0,0.0
